Term name,Short name,Context,Source,Related term,Partner information,URL
AGGREGATE MEASUREMENT OF SUPPORT,AMS,"Aggregate measurement of support (AMS) is the indicator on which the domestic support discipline for the Uruguay Round Agreement on Agriculture is based. It is determined by calculating a market price support estimate for each commodity receiving such support, plus non-exempt direct payments or any other subsidy not exempted from reduction commitments, less specific agricultural levies or fees paid by producers. Context: It differs from the Producer Support Estimate (PSE) in many respects. The most important difference is that price gaps in the AMS calculation are estimated by reference to domestic administered prices and not to actual producer prices, and that external reference prices are fixed at the average levels of the 1986-1988 base period. In addition, many budgetary transfers included in PSEs are excluded from the AMS.","Agricultural Policies in OECD Countries: Monitoring and Evaluation 2000: Glossary of Agricultural Policy Terms, OECD",Producer Support Estimate,OECD,https://web.archive.org/web/20250612194758/https://www.agincentives.org/2022/11/16/aggregate-measurement-of-support/
ADJUSTED REFERENCE PRICE,,"Benchmark price measured at the point of competition or farm gate level after adjustment for respective access costs. It is derived using the data as defined in the adjusted domain. It reflects the maximum price that could be obtained if trade and market policies, excessive access costs within the domestic commodity value chain, international market distortions were removed; the country would follow a non-distortive exchange rate policy and overall market performance in the country enhanced. It is derived using adjusted data and can be calculated at the point of competition and at the farm gate.",MAFAP Methodological Implementing Guides: Volume I - Analysis of price incentives and disincentives Broader term: Adjusted price gap Narrower term: Benchmark price,"Observed reference price Synonym: Price, adjusted reference",FAO,https://web.archive.org/web/20250612194758/https://www.agincentives.org/2022/11/16/adjusted-reference-price/
ADJUSTED PRICE GAP,PGa,"Difference between the domestic price and the adjusted reference price evaluated at the same point in the value chain. It measures the effect (in absolute terms) of trade and market policies, excessive access costs within the commodity value chain, exchange rate policy, international market distortions and overall market performance on the prices received by different agents in the value chain. It can be calculated at the point of competition and at the farm gate.",MAFAP Methodological Implementing Guides: Volume I - Analysis of price incentives and disincentives Broader term: Adjusted nominal rate of protection Narrower term: Adjusted access costs,Observed price gap,FAO,https://web.archive.org/web/20250612194758/https://www.agincentives.org/2022/11/16/adjusted-price-gap/
ADJUSTED NOMINAL RATE OF PROTECTION,NPRa,"Ratio between the price gap and the adjusted reference price evaluated at the same point in the value chain. It measures the effect (in relative terms) of trade and market policies, excessive access costs within the commodity value chain, exchange rate policy, international market distortions and overall market performance on prices received by different agents in the value chain. It can be calculated at the point of competition and at the farm gate.",MAFAP Methodological Implementing Guides: Volume I - Analysis of price incentives and disincentives Narrower term: Adjusted price gap,Observed nominal rate of protection,FAO,https://web.archive.org/web/20250612194758/https://www.agincentives.org/2022/11/16/adjusted-nominal-rate-of-protection/
ADJUSTED ACCESS COSTS,,Adjusted access costs,,,,https://web.archive.org/web/20250612194758/https://www.agincentives.org/2022/11/16/adjusted-access-costs/
ALL COMMODITY TRANSFERS,,All Commodity Transfers,,,,https://web.archive.org/web/20250612194758/https://www.agincentives.org/2022/11/16/all-commodity-transfers/
BENCHMARK PRICE,,"Price of a commodity at the border of a country. It is the price, whether actual or estimated, at which a commodity arrives at a country (if imported) or leaves a county (if exported). It reflects the opportunity cost for domestic market participants. It is the price of the commodity free of country’s own policy distortions.",MAFAP Methodological Implementing Guides: Volume I - Analysis of price incentives and disincentives Broader term: Adjusted reference price,,FAO,https://web.archive.org/web/20250612194758/https://www.agincentives.org/2022/11/16/benchmark-price/
DOMESTIC PRICE AT THE FARM GATE,,"Price received by agricultural producer from the purchaser for a unit of a good produced as output net of any Value Added Tax (VAT), or similar deductible tax, invoiced to the purchaser. It also excludes any transport charges invoiced separately by the producer.",MAFAP Methodological Implementing Guides: Volume I - Analysis of price incentives and disincentives Broader term: Adjusted price gap,,FAO,https://web.archive.org/web/20250612194758/https://www.agincentives.org/2022/11/16/domestic-price-at-the-farm-gate/
EXCESS FEED COST,EFC,Excess feed cost is a supplementary cost resulting from market price support on quantities of crops domestically produced and consumed as feed by livestock producers. It is deducted from the producer support estimate (PSE) for livestock and the consumer support estimate (CSE) for crops. This avoids double-counting when aggregating the PSE and CSE for crops and livestock.,"Agricultural Policies in OECD Countries: Monitoring and Evaluation 2000: Glossary of Agricultural Policy Terms, OECD Broader term: Market Price Support",,OECD,https://web.archive.org/web/20250612194758/https://www.agincentives.org/2022/11/16/excess-feed-cost/
GENERAL SERVICES SUPPORT ESTIMATE,GSSE,"The General Services Support Estimate (GSSE) is an indicator of the annual monetary value of gross transfers to services provided collectively to agriculture and arising from policy measures which support agriculture, regardless of their nature, objectives and impacts on farm production, income, or consumption of farm products. Context: It includes taxpayer transfers to: improve agricultural production (research and development); agricultural training and education (agricultural schools); control of quality and safety of food, agricultural inputs, and the environment (inspection services); improving off-farm collective infrastructures, including downstream and upstream industry (infrastructures); assist marketing and promotion (marketing and promotion); meet the costs of depreciation and disposal of public storage of agricultural products (public stockholding); and other general services that cannot be disagreggated and allocated to the above categories due, for example, to a lack of information (miscellaneous). Unlike the Producer Support Estimate (PSE) and Consumer Support Estimate (CSE) transfers, these transfers are not received by producers or consumers individually and do not affect farm receipts (revenue) or consumption expenditure by their amount, although they may affect production and consumption of agricultural commodities. The percentage GSSE (%GSSE) is the ratio of the GSSE to the Total Support Estimate.","Agricultural Policies in OECD Countries: Monitoring and Evaluation 2000: Glossary of Agricultural Policy Terms, OECD Broader term: Total Support Estimate",,OECD,https://web.archive.org/web/20250612194758/https://www.agincentives.org/2022/11/16/general-services-support-estimate/
GROUP COMMODITY TRANSFERS,GCT,"The annual monetary value of gross transfers from consumers and taxpayers to agricultural producers, measured at the farm gate level, arising from policy measures whose payments are made on the basis that one or more of a designated list of commodities is produced, i.e. a producer may produce from a set of allowable commodities and receive a transfer that does not vary with respect to this decision.","Agricultural Policies in OECD Countries: Monitoring and Evaluation 2000: Glossary of Agricultural Policy Terms, OECD Broader term: Producer Support Estimate",,OECD,https://web.archive.org/web/20250612194758/https://www.agincentives.org/2022/11/16/group-commodity-transfers/
MARKET DEVELOPMENT GAP,MDG,"Aggregate estimate of the effect of excessive access costs within a given value chain, exchange rate policy and international market distortions on prices received by producers. In theory, the market development gap reflects the opportunity costs that these inefficiencies represent for producers.",MAFAP Methodological Implementing Guides: Volume I - Analysis of price incentives and disincentives,,FAO,https://web.archive.org/web/20250612194758/https://www.agincentives.org/2022/11/16/market-development-gap/
MARKET PRICE DIFFERENTIAL,MPD,"The MPD measures the extent to which a set of agricultural policies affects the market price of a commodity. The normal practice is to calculate the MPD using a price gap which measures the difference between the domestic price and the border price of a commodity. As an alternative to the price gap method, MPD can be derived from the value of export subsidies or based on applied MFN tariff rate.","Agricultural Policies in OECD Countries: Monitoring and Evaluation 2000: Glossary of Agricultural Policy Terms, OECD Broader term: Market Price Support Narrower term: Producer price",,OECD,https://web.archive.org/web/20250612194758/https://www.agincentives.org/2022/11/16/market-price-differential/
MARKET PRICE SUPPORT,MPS,"Market Price Support (MPS) is an indicator of the annual monetary value of gross transfers from consumers and taxpayers to agricultural producers arising from policy measures creating a gap between domestic producer prices and reference prices of a specific agricultural commodity measured at the farm-gate level. Context: Conditional on the production of a specific commodity, MPS includes the transfer to producers for total production (for domestic use and exports), and is measured by the price gap applied to current production. The MPS is net of financial contributions from individual producers through producer levies on sales of the specific commodity or penalties for not respecting regulations such as production quotas (levies on output). In the case of livestock production, it is net of the market price support on domestically produced coarse grains and oilseeds used as animal feed (excess feed cost).","Agricultural Policies in OECD Countries: Monitoring and Evaluation 2000: Glossary of Agricultural Policy Terms, OECD Broader term: Producer Support Estimate",,OECD,https://web.archive.org/web/20250612194758/https://www.agincentives.org/2022/11/16/market-price-support/
NOMINAL RATE OF PROTECTION (NRP),NRP,"Nominal Rate of Protection (NRP) measures the extent to which a set of agricultural policies affects the market price of a product relative to prices that would have been in place had there been no interventions. It is computed as the price difference, expressed as a percentage, between the farm gate price received by producers and an undistorted reference price at the farm gate level.",,,,https://web.archive.org/web/20250612194758/https://www.agincentives.org/2022/11/16/nominal-rate-of-protection/
NOMINAL RATE OF ASSISTANCE (NRA) – INPUT,NRAi,"Nominal Rate of Protection (NRP) measures the extent to which a set of agricultural policies affects the market price of a product relative to prices that would have been in place had there been no interventions. It is computed as the price difference, expressed as a percentage, between the farm gate price received by producers and an undistorted reference price at the farm gate level.",,,,https://web.archive.org/web/20250612194758/https://www.agincentives.org/2022/11/16/nominal-rate-of-assistance-world-bank_input/
NOMINAL RATE OF ASSISTANCE (NRA) – OTHERS,NRA - others,Nominal Rate of Assistance (NRA) – Others,,,,https://web.archive.org/web/20250612194758/https://www.agincentives.org/2022/11/16/nominal-rate-of-assistance-world-bank_domestic-support/
OBSERVED REFERENCE PRICE,,Benchmark price measured at the point of competition or farm gate level after adjustment for respective access costs. It is derived using the data as defined in the observed domain. It shows the maximum price that could be obtained if market and trade policies were removed and overall market performance enhanced.,MAFAP Methodological Implementing Guides: Volume I - Analysis of price incentives and disincentives Broader term: Observed price gap Narrower term: Benchmark price,Adjusted reference price,FAO,https://web.archive.org/web/20250612194758/https://www.agincentives.org/2022/11/16/observed-reference-price/
OBSERVED PRICE GAP,PGo,Difference between domestic price and observed reference price measured at the same point in the value chain. It measures the effect (in absolute terms) of domestic market and trade policies and overall market performance on the prices received by different agents in the value chain. Calculated at the point of competition and at the farm gate.,MAFAP Methodological Implementing Guides: Volume I - Analysis of price incentives and disincentives Broader term: Observed nominal rate of protection Narrower term: Observed access costs,Adjusted price gap,FAO,https://web.archive.org/web/20250612194758/https://www.agincentives.org/2022/11/16/observed-price-gap/
